  3.849897  0.541400  5.936000
  3.968897  0.532300  6.000000
  4.087897  0.522900  6.063000
  4.206897  0.512600  6.124000
  4.325897  0.505400  6.185000
  4.444897  0.498400  6.245000
  4.563897  0.489800  6.303000
  4.682897  0.482600  6.361000
  4.801897  0.479100  6.418000
  4.920897  0.479100  6.476000
  5.039897  0.477400  6.533000
  5.158897  0.472000  6.589000
  5.278897  0.468100  6.645000
  5.397897  0.465600  6.701000
  5.516897  0.463100  6.756000
  5.635897  0.463100  6.811000
  5.754897  0.466300  6.866000
  5.873897  0.469500  6.922000
  5.992897  0.469100  6.978000
  6.111897  0.470700  7.034000
  6.230897  0.472700  7.090000
  6.349897  0.475300  7.146000
  6.468897  0.477500  7.203000
  6.587897  0.479700  7.260000
  6.706897  0.482000  7.317000
  6.825897  0.489400  7.375000
  6.945897  0.495500  7.434000
  7.064897  0.505400  7.493000
  7.183897  0.513200  7.554000
  7.302897  0.516000  7.615000
  7.421897  0.515400  7.677000
  7.540897  0.517700  7.738000
  7.659897  0.520200  7.800000
  7.778897  0.520900  7.862000
  7.897897  0.525600  7.924000
  8.016897  0.532500  7.987000
  8.135897  0.536600  8.051000
  8.254897  0.540300  8.115000
  8.373897  0.530300  8.179000
  8.492897  0.527900  8.242000
  8.612897  0.525400  8.304000
  8.731897  0.525000  8.367000
  8.850897  0.526700  8.429000
  8.969897  0.527000  8.492000
  9.088897  0.527000  8.555000
  9.207897  0.533300  8.618000
  9.326897  0.537900  8.682000
  9.445897  0.539200  8.746000
  9.564897  0.542500  8.810000
  9.683897  0.544800  8.875000
  9.802897  0.551200  8.940000
  9.921897  0.558900  9.006000
 10.040897  0.569100  9.074000
 10.159897  0.582500  9.142000
 10.279897  0.603700  9.213000
 10.398897  0.633800  9.286000
 10.517897  0.667300  9.364000
 10.636897  0.697500  9.445000
 10.755897  0.650900  9.527000
 10.874897  0.645900  9.604000
 10.993897  0.600800  9.679000
 11.112897  0.568400  9.748000
 11.231897  0.561600  9.815000
 11.350897  0.565900  9.883000
 11.469897  0.576300  9.950000
 11.588897  0.585600 10.020000
 11.707897  0.564700 10.090000
 11.826897  0.544300 10.160000
 11.946897  0.570000 10.220000
 12.065897  0.566100 10.290000
 12.184897  0.544900 10.360000
 12.303897  0.554700 10.420000
 12.422897  0.541900 10.490000
 12.541897  0.517900 10.550000
 12.660897  0.528700 10.610000
 12.779897  0.561800 10.680000
 12.898897  0.561100 10.740000
 13.017897  0.620600 10.810000
 13.136897  0.641300 10.890000
 13.255897  0.631200 10.970000
 13.374897  0.655700 11.040000
 13.493897  0.680200 11.120000
 13.613897  0.658500 11.200000
 13.732897  0.675700 11.280000
 13.851897  0.690300 11.360000
 13.970897  0.644500 11.440000
 14.089897  0.503000 11.510000
 14.208897  0.428600 11.570000
 14.327897  0.379700 11.620000
 14.446897  0.335400 11.660000
 14.565897  0.290900 11.700000
 14.684897  0.249700 11.730000
